m/z	S2
99.65818	415592
107.40354	409978
112.98545	385199
227.20227	430169
228.16055	552691
239.09298	463301
241.21753	665785
242.17642	6233384
243.17988	851608
243.96857	410324
253.21748	624711
255.23317	7923468
255.23693	1705901
256.23625	1479363
265.12471	730251
265.1481	15849385
266.104	414807
266.15158	2024276
267.1441	611025
269.24913	798384
270.20755	470073
276.62781	805495
279.16418	599787
281.24883	1008184
283.2644	17928410
284.26767	3473844
293.17939	6586083
294.18284	1032199
297.15326	3326474
298.15666	589246
309.17428	6911028
310.17761	896752
311.16874	10302186
312.17217	2002392
313.16523	460152
321.21121	759001
325.18445	9555216
326.18752	1764149
329.19212	522418
329.26887	500068
337.20564	2161277
339.19998	5779029
340.20317	1178719
341.27074	462657
353.2004	3750696
354.20302	531812
355.28523	793821
365.24641	2585171
366.25088	437329
367.24265	825054
372.30457	620391
374.24451	794178
375.27545	3172017
375.28335	745684
376.2795	655983
381.23119	1122553
390.29864	1206014
391.30131	499361
393.27766	8311432
394.28131	1748937
395.27498	2766184
395.28385	815900
396.27851	771052
397.2259	1430550
403.30653	10426832
404.31005	2866461
405.26597	487824
410.22039	759338
414.32366	590241
420.25059	1274043
420.2976	851531
425.25847	533120
437.2408	1185705
441.25239	615064
447.30839	591070
477.06722	3735876
478.07209	676633
536.24964	695616
554.26202	50734088
554.78846	739116
554.86066	728516
554.8972	682720
554.92137	694169
555.00545	712821
555.01813	729225
555.04226	667217
555.06616	817641
555.07834	759085
555.10236	774981
555.16303	1144889
555.26481	15089114
556.26894	2822178
557.26831	592422
566.26071	878810
571.16641	603572
590.23552	811060
617.25588	1050059
